id_dataset	code_secteur	code_site	date_visite	Annee	Mois	Jour	observateurs	condition_prospection	genre_espece	code_espece	techn_observation	statut_observation	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
85	J25	J25-020	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Inconnu	0	0	0	0	0
85	J25	J25-013	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Inconnu	1	1	0	0	1
85	J25	J25-008	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-019	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-014	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-031	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-037	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-038	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	2	0	1	1
85	J25	J25-015	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Inconnu	0	0	0	0	0
85	J25	J25-017	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Inconnu	0	0	0	0	0
85	J25	J25-011	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Empreintes_et_feces	1	1	0	0	1
85	J25	J25-009	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-010	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-012	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Empreintes_et_feces	0	0	0	0	0
85	J25	J25-039	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	1	0	0	1
85	J25	J25-043	22/04/2011	2011	4	22	BTS_GPN_Suscinio	NA	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-004	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-006	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-016	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-040	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-042	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-001	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-002	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Empreintes_et_feces	1	2	0	2	0
85	J25	J25-033	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-035	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-036	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-021	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	0	0	0	0
85	J25	J25-041	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	0	0	0	0	0
85	J25	J25-052	22/04/2011	2011	4	22	BTS_GPN_Suscinio	moyen	Lutra_lutra	Lut_lut	Feces_Guano_Epreintes	1	1	0	1	0
